订单号,订单日期,产品类别,产品名称,销售区域,城市,销售渠道,客户类型,数量,单价,折扣率,销售额
ORD20260808,2024-01-02,电子产品,高清显示器,华北,北京,线上商城,个人用户,2,3175.66,0.05,6033.75
ORD20267162,2024-01-02,服装鞋帽,连帽卫衣,华东,上海,小程序,个人用户,4,209.47,0.05,795.99
ORD20268869,2024-01-02,服装鞋帽,修身牛仔裤,华北,北京,线上商城,企业采购,5,459.5,0.0,2297.5
ORD20241322,2024-01-02,食品饮料,有机牛奶,华北,石家庄,APP,会员用户,16,230.4,0.15,3133.44
ORD20260949,2024-01-02,电子产品,智能手表,华东,苏州,APP,个人用户,2,3144.59,0.0,6289.18
ORD20249719,2024-01-02,电子产品,无线蓝牙耳机,华南,深圳,小程序,会员用户,4,6103.92,0.3,17090.98
ORD20259275,2024-01-02,办公用品,中性笔套装,华北,太原,线上商城,企业采购,14,447.0,0.2,5006.4
ORD20246371,2024-01-02,服装鞋帽,连帽卫衣,华东,宁波,小程序,个人用户,5,370.55,0.2,1482.2
ORD20242079,2024-01-02,美妆个护,香氛沐浴露,华东,宁波,线上商城,个人用户,2,769.97,0.0,1539.94
ORD20248806,2024-01-02,服装鞋帽,修身牛仔裤,西南,昆明,线上商城,企业采购,4,472.35,0.1,1700.46
ORD20264902,2024-01-02,办公用品,办公椅,华东,上海,线上商城,个人用户,11,622.59,0.2,5478.79
ORD20263068,2024-01-02,电子产品,智能手表,西南,重庆,线上商城,个人用户,3,334.17,0.1,902.26
ORD20255142,2024-01-02,家居用品,陶瓷餐具套装,东北,哈尔滨,线上商城,个人用户,2,922.62,0.3,1291.67
ORD20244672,2024-01-02,电子产品,智能手表,华南,东莞,APP,个人用户,3,7789.43,0.15,19863.05
ORD20243133,2024-01-02,服装鞋帽,跑步鞋,华东,上海,小程序,个人用户,2,129.47,0.0,258.94
ORD20257703,2024-01-02,服装鞋帽,纯棉T恤,华中,长沙,小程序,个人用户,7,766.74,0.3,3757.03
ORD20256122,2024-01-02,食品饮料,坚果零食礼包,华东,杭州,线上商城,个人用户,8,136.86,0.05,1040.14
ORD20250516,2024-01-02,家居用品,北欧落地灯,华中,长沙,线上商城,企业采购,4,514.83,0.1,1853.39
ORD20268357,2024-01-02,服装鞋帽,连帽卫衣,华东,上海,APP,会员用户,8,314.72,0.1,2265.98
ORD20263793,2024-01-02,电子产品,智能手表,东北,大连,小程序,个人用户,5,8502.74,0.2,34010.96
ORD20263640,2024-01-02,电子产品,智能手机,华东,宁波,APP,个人用户,5,5898.76,0.2,23595.04
ORD20257969,2024-01-02,电子产品,智能手机,西北,乌鲁木齐,APP,企业采购,7,2044.77,0.3,10019.37
ORD20253796,2024-01-02,食品饮料,有机牛奶,东北,大连,线上商城,企业采购,2,202.53,0.2,324.05
ORD20250501,2024-01-02,食品饮料,有机牛奶,华东,杭州,线上商城,个人用户,4,22.33,0.0,89.32
ORD20241443,2024-01-02,服装鞋帽,纯棉T恤,华东,上海,APP,个人用户,8,638.99,0.15,4345.13
ORD20254937,2024-01-02,家居用品,记忆棉枕头,华中,武汉,小程序,会员用户,3,863.91,0.1,2332.56
ORD20249681,2024-01-02,电子产品,智能手机,华东,苏州,线上商城,个人用户,4,1199.57,0.05,4558.37
ORD20240567,2024-01-02,运动户外,运动水壶,西南,贵阳,线上商城,个人用户,2,696.75,0.15,1184.47
ORD20246527,2024-01-02,服装鞋帽,防风外套,华南,东莞,线上商城,会员用户,7,858.19,0.05,5706.96
ORD20264769,2024-01-02,电子产品,智能手表,华中,长沙,线上商城,个人用户,1,3156.73,0.0,3156.73
ORD20245083,2024-01-02,家居用品,实木置物架,华东,宁波,APP,个人用户,2,1251.54,0.15,2127.62
ORD20245894,2024-01-02,母婴玩具,保温奶瓶,华南,深圳,线上商城,个人用户,4,166.43,0.0,665.72
ORD20257279,2024-01-02,办公用品,中性笔套装,华中,郑州,线上商城,会员用户,4,626.48,0.05,2380.62
ORD20253251,2024-01-02,家居用品,北欧落地灯,东北,沈阳,线下门店,个人用户,1,908.75,0.0,908.75
ORD20250228,2024-01-02,电子产品,便携充电宝,华北,天津,线上商城,企业采购,4,3698.52,0.05,14054.38
ORD20253096,2024-01-02,食品饮料,气泡水,华东,苏州,线上商城,企业采购,5,167.86,0.2,671.44
ORD20255423,2024-01-02,办公用品,办公椅,西北,兰州,APP,个人用户,6,518.0,0.1,2797.2
ORD20264036,2024-01-02,运动户外,户外帐篷,华东,上海,APP,企业采购,5,896.65,0.15,3810.76
ORD20258682,2024-01-02,家居用品,加湿器,西北,兰州,线上商城,个人用户,3,1205.03,0.0,3615.09
ORD20243307,2024-01-02,服装鞋帽,纯棉T恤,华东,南京,APP,个人用户,1,815.26,0.0,815.26
ORD20250731,2024-01-02,电子产品,便携充电宝,华东,宁波,APP,会员用户,4,7625.37,0.3,21351.04
ORD20260128,2024-01-02,运动户外,瑜伽垫,华北,天津,线上商城,会员用户,3,502.92,0.1,1357.88
ORD20240722,2024-01-02,食品饮料,坚果零食礼包,华南,广州,APP,企业采购,4,34.56,0.0,138.24
ORD20267466,2024-01-02,电子产品,高清显示器,华北,石家庄,线上商城,会员用户,7,2745.21,0.3,13451.53
ORD20262618,2024-01-02,电子产品,智能手表,华东,苏州,小程序,个人用户,2,3415.4,0.3,4781.56
ORD20255808,2024-01-02,家居用品,陶瓷餐具套装,华东,南京,线下门店,企业采购,9,947.1,0.3,5966.73
ORD20265191,2024-01-02,办公用品,中性笔套装,西北,西安,线上商城,个人用户,2,119.04,0.15,202.37
ORD20240825,2024-01-02,电子产品,便携充电宝,华北,天津,线上商城,个人用户,1,1219.59,0.0,1219.59
ORD20264401,2024-01-02,办公用品,碎纸机,华东,苏州,小程序,会员用户,1,615.81,0.0,615.81
ORD20240448,2024-01-02,电子产品,高清显示器,华中,长沙,APP,个人用户,1,6180.26,0.0,6180.26
ORD20262173,2024-01-02,电子产品,便携充电宝,华北,太原,线上商城,个人用户,1,7399.7,0.0,7399.7
ORD20264804,2024-01-02,家居用品,实木置物架,西北,乌鲁木齐,小程序,个人用户,5,145.29,0.05,690.13
ORD20245304,2024-01-02,家居用品,陶瓷餐具套装,华南,广州,线下门店,个人用户,4,285.72,0.0,1142.88
ORD20263421,2024-01-02,母婴玩具,婴儿纸尿裤,华东,宁波,线上商城,个人用户,1,101.22,0.05,96.16
ORD20253679,2024-01-02,电子产品,智能手表,西南,重庆,线下门店,个人用户,5,3722.6,0.2,14890.4
ORD20262578,2024-01-03,家居用品,加湿器,西北,乌鲁木齐,线上商城,会员用户,2,48.38,0.05,91.92
ORD20265857,2024-01-03,电子产品,高清显示器,华东,苏州,线上商城,个人用户,1,5872.19,0.0,5872.19
ORD20262937,2024-01-03,食品饮料,手工巧克力,华南,佛山,APP,个人用户,1,185.98,0.1,167.38
ORD20243954,2024-01-03,家居用品,实木置物架,华北,北京,APP,个人用户,5,55.15,0.0,275.75
ORD20253904,2024-01-03,家居用品,记忆棉枕头,华北,北京,线上商城,企业采购,2,860.79,0.15,1463.34
ORD20253113,2024-01-03,运动户外,健身哑铃,西南,重庆,小程序,会员用户,4,340.32,0.2,1089.02
ORD20267087,2024-01-03,电子产品,智能手表,华东,杭州,线上商城,个人用户,1,472.25,0.1,425.02
ORD20246533,2024-01-03,服装鞋帽,防风外套,华北,太原,小程序,个人用户,1,793.25,0.0,793.25
ORD20244314,2024-01-03,服装鞋帽,跑步鞋,华南,广州,线上商城,会员用户,7,179.59,0.3,879.99
ORD20251431,2024-01-03,美妆个护,保湿面霜,华北,北京,线上商城,会员用户,5,620.24,0.15,2636.02
ORD20243885,2024-01-03,服装鞋帽,跑步鞋,华东,南京,小程序,企业采购,5,698.42,0.0,3492.1
ORD20247259,2024-01-03,服装鞋帽,防风外套,西北,西安,线上商城,个人用户,3,314.51,0.0,943.53
ORD20263566,2024-01-03,家居用品,加湿器,华东,南京,APP,企业采购,2,767.33,0.0,1534.66
ORD20263948,2024-01-03,家居用品,加湿器,华北,北京,APP,个人用户,3,1431.11,0.1,3864.0
ORD20248632,2024-01-03,母婴玩具,遥控玩具车,西北,乌鲁木齐,小程序,企业采购,4,68.35,0.3,191.38
ORD20263950,2024-01-03,服装鞋帽,纯棉T恤,西南,贵阳,线上商城,会员用户,8,847.11,0.1,6099.19
ORD20254914,2024-01-03,母婴玩具,保温奶瓶,华北,北京,线上商城,个人用户,5,486.63,0.05,2311.49
ORD20248613,2024-01-03,服装鞋帽,连帽卫衣,东北,沈阳,线上商城,企业采购,4,189.2,0.0,756.8
ORD20269365,2024-01-03,办公用品,碎纸机,华东,宁波,APP,个人用户,2,596.91,0.0,1193.82
ORD20253100,2024-01-03,办公用品,碎纸机,华北,石家庄,线下门店,企业采购,8,336.22,0.1,2420.78
ORD20247932,2024-01-03,办公用品,中性笔套装,华东,宁波,APP,企业采购,1,178.04,0.05,169.14
ORD20257778,2024-01-03,运动户外,户外帐篷,华北,北京,APP,会员用户,4,1041.57,0.05,3957.97
ORD20264993,2024-01-03,食品饮料,手工巧克力,华北,石家庄,APP,个人用户,5,174.96,0.15,743.58
ORD20269779,2024-01-03,电子产品,便携充电宝,华东,杭州,小程序,个人用户,2,6032.96,0.0,12065.92
ORD20245702,2024-01-03,办公用品,中性笔套装,华东,杭州,线下门店,企业采购,8,473.46,0.15,3219.53
ORD20268653,2024-01-03,电子产品,无线蓝牙耳机,西北,兰州,线上商城,会员用户,2,6598.71,0.0,13197.42
ORD20264847,2024-01-03,电子产品,高清显示器,华南,东莞,线上商城,个人用户,1,2515.78,0.1,2264.2
ORD20268522,2024-01-03,电子产品,智能手机,华北,石家庄,APP,个人用户,2,8494.2,0.0,16988.4
ORD20268356,2024-01-03,美妆个护,氨基酸洁面,华中,长沙,APP,企业采购,5,428.44,0.2,1713.76
ORD20240534,2024-01-03,食品饮料,挂耳咖啡,西南,成都,APP,个人用户,2,46.41,0.2,74.26
ORD20262580,2024-01-03,服装鞋帽,纯棉T恤,华中,武汉,线上商城,个人用户,1,627.77,0.1,564.99
ORD20255558,2024-01-03,办公用品,碎纸机,西南,昆明,线上商城,个人用户,2,492.47,0.0,984.94
ORD20256491,2024-01-03,电子产品,机械键盘,华东,苏州,APP,会员用户,1,1006.49,0.0,1006.49
ORD20251609,2024-01-03,运动户外,运动水壶,华东,杭州,线上商城,个人用户,4,285.17,0.05,1083.65
ORD20252150,2024-01-03,办公用品,A4打印纸,西南,成都,线下门店,个人用户,10,541.22,0.15,4600.37
ORD20243800,2024-01-03,母婴玩具,婴儿纸尿裤,华南,深圳,小程序,个人用户,9,210.77,0.3,1327.85
ORD20269272,2024-01-03,家居用品,实木置物架,华北,太原,线上商城,会员用户,6,1166.82,0.15,5950.78
ORD20268842,2024-01-03,电子产品,无线蓝牙耳机,华南,东莞,线上商城,个人用户,4,2960.74,0.05,11250.81
ORD20247866,2024-01-03,美妆个护,氨基酸洁面,华东,宁波,小程序,个人用户,4,289.22,0.0,1156.88
ORD20258906,2024-01-03,服装鞋帽,跑步鞋,华东,宁波,APP,企业采购,13,761.51,0.3,6929.74
ORD20253561,2024-01-03,服装鞋帽,修身牛仔裤,华南,东莞,小程序,企业采购,2,888.8,0.2,1422.08
ORD20247871,2024-01-03,家居用品,实木置物架,华东,南京,APP,个人用户,7,337.86,0.1,2128.52
ORD20245345,2024-01-03,食品饮料,挂耳咖啡,华北,太原,APP,企业采购,3,226.47,0.0,679.41
ORD20262174,2024-01-03,运动户外,户外帐篷,华北,石家庄,线下门店,企业采购,2,546.78,0.3,765.49
ORD20249270,2024-01-03,服装鞋帽,连帽卫衣,华东,苏州,APP,个人用户,8,359.71,0.15,2446.03
ORD20240027,2024-01-03,电子产品,无线蓝牙耳机,东北,大连,小程序,个人用户,1,8974.22,0.0,8974.22
ORD20263757,2024-01-03,美妆个护,氨基酸洁面,西南,贵阳,线上商城,个人用户,3,284.73,0.0,854.19
ORD20255603,2024-01-03,电子产品,无线蓝牙耳机,华南,东莞,线上商城,个人用户,3,3433.97,0.1,9271.72
ORD20240743,2024-01-03,运动户外,健身哑铃,华东,苏州,APP,个人用户,1,512.15,0.05,486.54
ORD20246505,2024-01-03,食品饮料,气泡水,华东,杭州,线上商城,企业采购,6,56.5,0.0,339.0
ORD20248601,2024-01-03,办公用品,A4打印纸,华东,苏州,线上商城,个人用户,2,381.72,0.2,610.75
ORD20258131,2024-01-03,食品饮料,有机牛奶,华南,东莞,小程序,企业采购,18,152.33,0.2,2193.55
ORD20251347,2024-01-03,家居用品,实木置物架,华中,长沙,APP,个人用户,4,1438.09,0.2,4601.89
ORD20240394,2024-01-03,电子产品,高清显示器,华南,东莞,线上商城,个人用户,1,578.85,0.0,578.85
ORD20254758,2024-01-03,服装鞋帽,修身牛仔裤,华南,东莞,线上商城,个人用户,3,407.33,0.0,1221.99
ORD20249657,2024-01-03,服装鞋帽,跑步鞋,华北,北京,线上商城,个人用户,2,735.54,0.2,1176.86
ORD20269660,2024-01-03,母婴玩具,婴儿纸尿裤,东北,沈阳,线上商城,个人用户,7,414.08,0.3,2028.99
ORD20247520,2024-01-03,服装鞋帽,纯棉T恤,华北,石家庄,线上商城,企业采购,3,522.76,0.1,1411.45
ORD20247061,2024-01-03,美妆个护,防晒喷雾,华南,东莞,APP,个人用户,5,271.77,0.05,1290.91
ORD20265628,2024-01-03,办公用品,中性笔套装,华中,郑州,线上商城,会员用户,8,491.58,0.05,3736.01
ORD20264909,2024-01-03,食品饮料,挂耳咖啡,东北,哈尔滨,线上商城,企业采购,16,74.86,0.2,958.21
ORD20261293,2024-01-03,美妆个护,香氛沐浴露,华东,苏州,小程序,个人用户,5,96.89,0.15,411.78
ORD20245481,2024-01-03,食品饮料,坚果零食礼包,华北,天津,APP,会员用户,5,84.27,0.2,337.08
ORD20242604,2024-01-03,服装鞋帽,跑步鞋,西南,贵阳,小程序,个人用户,7,358.31,0.2,2006.54
ORD20249700,2024-01-03,服装鞋帽,连帽卫衣,华东,南京,APP,会员用户,4,618.74,0.0,2474.96
ORD20267174,2024-01-03,办公用品,中性笔套装,华东,上海,线上商城,个人用户,6,663.71,0.0,3982.26
ORD20255867,2024-01-03,电子产品,机械键盘,华北,石家庄,线上商城,企业采购,2,7820.13,0.05,14858.25
ORD20245186,2024-01-03,电子产品,高清显示器,华南,东莞,线下门店,会员用户,3,3009.2,0.0,9027.6
ORD20250722,2024-01-03,食品饮料,挂耳咖啡,华南,佛山,小程序,个人用户,11,279.3,0.0,3072.3
ORD20255371,2024-01-03,办公用品,碎纸机,华南,东莞,APP,个人用户,11,121.42,0.15,1135.28
ORD20268942,2024-01-03,家居用品,加湿器,华北,北京,APP,企业采购,7,201.49,0.3,987.3
ORD20264959,2024-01-03,服装鞋帽,防风外套,华东,杭州,小程序,企业采购,6,760.79,0.0,4564.74
ORD20269690,2024-01-03,电子产品,高清显示器,西南,贵阳,小程序,个人用户,5,1727.1,0.2,6908.4
ORD20242241,2024-01-03,食品饮料,手工巧克力,华南,东莞,小程序,会员用户,4,190.12,0.1,684.43
ORD20258035,2024-01-03,服装鞋帽,连帽卫衣,西南,成都,线下门店,企业采购,11,893.22,0.2,7860.34
ORD20256968,2024-01-03,服装鞋帽,跑步鞋,华南,东莞,小程序,个人用户,5,131.63,0.2,526.52
ORD20258986,2024-01-03,服装鞋帽,修身牛仔裤,华北,天津,线上商城,企业采购,3,895.16,0.0,2685.48
ORD20268726,2024-01-03,家居用品,北欧落地灯,华北,天津,APP,会员用户,9,1538.69,0.3,9693.75
ORD20255785,2024-01-03,电子产品,无线蓝牙耳机,东北,哈尔滨,小程序,企业采购,2,2788.37,0.15,4740.23
ORD20251849,2024-01-03,食品饮料,挂耳咖啡,华北,太原,APP,个人用户,18,221.5,0.2,3189.6
ORD20268741,2024-01-03,运动户外,瑜伽垫,华南,深圳,线上商城,企业采购,3,551.07,0.15,1405.23
ORD20250553,2024-01-03,美妆个护,氨基酸洁面,华北,太原,APP,个人用户,4,525.15,0.2,1680.48
ORD20244552,2024-01-03,食品饮料,坚果零食礼包,华北,北京,线上商城,会员用户,14,182.41,0.1,2298.37
ORD20256787,2024-01-03,家居用品,加湿器,华东,苏州,小程序,会员用户,6,1214.77,0.15,6195.33
ORD20252974,2024-01-03,服装鞋帽,防风外套,西南,昆明,线上商城,个人用户,3,470.36,0.0,1411.08
ORD20254544,2024-01-03,电子产品,机械键盘,华东,宁波,小程序,企业采购,3,5879.48,0.0,17638.44
ORD20260892,2024-01-03,家居用品,实木置物架,华东,苏州,APP,个人用户,5,1075.36,0.0,5376.8
ORD20261826,2024-01-03,食品饮料,手工巧克力,华东,杭州,线下门店,个人用户,8,17.17,0.15,116.76
ORD20255268,2024-01-03,母婴玩具,保温奶瓶,华东,南京,线上商城,会员用户,6,293.53,0.15,1497.0
ORD20241898,2024-01-03,母婴玩具,保温奶瓶,华中,长沙,线上商城,个人用户,7,127.45,0.3,624.5
ORD20251255,2024-01-03,电子产品,机械键盘,东北,哈尔滨,小程序,个人用户,4,7181.28,0.2,22980.1
ORD20246242,2024-01-03,食品饮料,手工巧克力,华东,苏州,APP,会员用户,7,122.7,0.0,858.9
ORD20251775,2024-01-03,服装鞋帽,修身牛仔裤,华东,苏州,线上商城,个人用户,1,386.61,0.05,367.28
ORD20255377,2024-01-04,电子产品,无线蓝牙耳机,华东,宁波,线上商城,企业采购,4,7765.39,0.2,24849.25
ORD20256263,2024-01-04,母婴玩具,儿童积木,华北,天津,线上商城,个人用户,3,173.9,0.0,521.7
ORD20257798,2024-01-04,美妆个护,防晒喷雾,华南,深圳,APP,会员用户,2,632.42,0.0,1264.84
ORD20256279,2024-01-04,运动户外,户外帐篷,西南,重庆,线上商城,会员用户,3,748.28,0.1,2020.36
ORD20244635,2024-01-04,食品饮料,气泡水,华东,南京,线下门店,企业采购,20,52.71,0.3,737.94
ORD20241765,2024-01-04,美妆个护,氨基酸洁面,华东,南京,APP,会员用户,3,693.77,0.0,2081.31
ORD20254411,2024-01-04,运动户外,户外帐篷,华东,苏州,小程序,企业采购,3,1124.81,0.0,3374.43
ORD20264397,2024-01-04,母婴玩具,儿童积木,华南,深圳,线上商城,个人用户,3,525.66,0.0,1576.98
ORD20267467,2024-01-04,母婴玩具,儿童积木,华东,南京,APP,个人用户,2,285.44,0.0,570.88
ORD20254813,2024-01-04,服装鞋帽,纯棉T恤,华南,东莞,线上商城,会员用户,6,296.53,0.1,1601.26
ORD20256070,2024-01-04,服装鞋帽,防风外套,华东,杭州,APP,企业采购,3,606.57,0.0,1819.71
ORD20262016,2024-01-04,服装鞋帽,修身牛仔裤,华东,宁波,线下门店,企业采购,1,460.73,0.0,460.73
ORD20262228,2024-01-04,电子产品,高清显示器,华北,石家庄,APP,个人用户,2,4403.26,0.0,8806.52
ORD20250126,2024-01-04,家居用品,北欧落地灯,华中,郑州,APP,会员用户,2,284.77,0.3,398.68
